;VARIABLES ;;;;;;;;;;;;
Municipio ;Presupuesto Anual (para planes de sensibilización);Monto recaudado del cobro por la recolección de residuos residencial ;Total del monto recaudado por el cobro de recoleccion de residuos residencial e industrial ;Presupuesto anual para campañas de conservación de las fuentes de captación de agua;Ingresos provenientes de: Recursos fiscales generados por instituciones de valor ;Ingresos provenientes de: Recursos de preasignaciones valor ;Ingresos provenientes de: Recursos de crédito internos valor  ;Ingresos provenientes de: Asistencia técnica y donacionaciones valor ;Ingresos provenientes de: Anticipos de ejercicios anteriores valor ;Total de ingresos recibidos ;Ingresos para protección ambiental provenientes de: Recursos fiscales generados por la institución ;Ingresos para protección ambiental provenientes de: Recursos provenientes de preasignaciones valor;Total del ingresos recibido para protección ambiental 
ALFREDO BAQUERIZO;200;;;;3534254,49;;71768,32;;;3606022,81;188000;;259768,32
BALAO;1000;72000;72000;;2544000;;;;;2544000;978163,32;;978163,32
BALZAR;2000;;;;1709900;8290100;;;;10000000;649755;;649755
GNRAL. ANTONIO ELIZALDE;;128651,19;128651,19;;1051502,29;4798128,48;;;;5849630,77;267365,37;;267365,37
COLIMES;;23039,34;23039,34;2000;3466499,16;;639615,69;;;4106114,85;2145485,38;;2145485,38
DAULE;2000;334766,91;356134,92;3000;46800000;;;;;46800000;;104907,34;104907,34
DURAN;;2327455,93;2327455,93;;13592678,03;;;;;13592678,03;2501000;;2501000
EL EMPALME;5000;151071,47;151071,47;2000;808244,71;10727851,96;;;;11536096,67;154864;;154864
EL TRIUNFO;5000;500000;500000;;4704000;;;170546,68;;4960770,49;273929,04;;274129,04
GRAL. VILLAMIL - PLAYAS;;190514,73;190514,73;4000;;4292510,92;433271,15;;;5529376,5;351177,53;;351177,53
GUAYAQUIL;;;;;;;;;;;;;
ISIDRO AYORA;;4800;4800;2000;1868436,98;;193067,4;384287,26;;2445791,64;82414,17;;659768,83
LOMAS DE SARGENTILLO;;28330,35;28330,35;;2293810,8;;;426586,15;788066,89;3508463,84;98377;;98377
MARCELINO MARIDUEÑA;;83062,74;83062,74;;2217635,04;;;;;2217635,04;315248,97;;828267,45
MILAGRO;;1210582,56;1210582,56;12000;15317143,8;;8661347,23;;;25162221,19;2422940,61;;2422940,61
NARANJAL;30000;119283,26;119283,26;20000;6964533,72;;765927,5;;;7730461,22;2194672,13;;2960599,63
NARANJITO;;1894473;1894473;1500;1841527,32;8057369,37;;;;9898896,69;453892,8;;453892,8
NOBOL;;2800;2800;;1145508,45;;;329271,24;;1740258,08;;1666200,8;1666200,8
PALESTINA;;2664;2664;5000;4160,6;;;;;107367,54;81812,6;;81812,6
PEDRO CARBO;10000;82581,41;82581,41;2000;5602861,68;;1172083,96;1105250,59;;7880196,23;2093934,53;;4371269,08
SALITRE;;;;700;1311296,46;7181592,72;194749,5;673916,05;;9381554,73;864029,98;;864029,98
SAMBORONDON;;1958394;1958394;3000;5677335;;177782,26;311719,17;;8125230,28;850752,53;;2986928,64
SAN JACINTO DE YAGUACHI;;75275,11;75275,11;;538691,3;7129804,45;946310,86;;;8946186,51;1055854,58;;1055854,58
SANTA LUCIA;;14156;14156;2000;3674558,62;5039543,33;985560,1;;;9699662,05;;651460,98;651460,98
SIMON BOLIVAR;;;;;3049298,98;324952,76;17399,06;;;3641393,27;275481,9;;275481,9
