MUNICIPIOS ;Funcionarios que trabajan tiempo completo ;Cobertura en km que cubre el servicio de barrido de las zonas públicas ;Número de personas dedicadas al servicio de barrido ;Número total de empleados que laboraron en trabajo exclusivo en gestión ambiental ;Consumo de energía eléctrica 2012 (kWh y valor);Consumo de energía eléctrica 2012 (kWh y valor) valor;Cantidad de combustible que utilizo la institución: Diesel ;Cantidad de combustible que utilizo la institución: Extra;Cantidad de combustible que utilizo la institución: Super ;Número de productos maderables que adquirio la institución: Papel;Total de los cortes del servicio de agua potable en el mes 
ALFREDO BAQUERIZO;34;2,500;15;261;18432,00;1657,92;133333,00;;;600;30
BALAO;2;20,000;7;158;517895,67;46610,61;60079,00;;;2000;4
BALZAR;3;28,000;50;350;1600000,00;144000,00;38803,00;4580,24;;200;
GNRAL. ANTONIO ELIZALDE ;2;12,000;3;132;106294,67;9566,52;1735,00;8918,92;4522,61;291;
COLIMES;3;6,000;6;120;323794,44;29141,50;70540,71;23673,01;556,00;1902;
DAULE;2;75,000;25;426;;;90780,21;2233,29;6111,26;2201;
DURAN;5;66,000;44;798;6361977,44;572577,97;43883,21;20026,36;2311,80;1500;
EL EMPALME;3;23,000;15;312;2371224,33;213410,19;56177,39;4867,03;3091,36;1100;
EL TRIUNFO;2;17,000;62;289;285093,56;25658,42;80540,21;2140,10;5100,20;2000;
GRAL. VILLAMIL - PLAYAS;;42,000;25;339;;;92612,92;24376,43;169,64;1566;4
GUAYAQUIL;;;;;;;;;;;
ISIDRO AYORA;1;1,000;4;36;33012,00;2923,63;4380,00;;;400;30
LOMAS DE SARGENTILLO;1;15,000;13;113;64847,00;6446,99;8812,56;;;500;30
MARCELINO MARIDUEÑA;2;10,000;6;143;;;40537,82;6196,61;;500;1
MILAGRO;2;21,000;43;698;102471,25;88924,29;197706,60;8126,56;30110,08;1813;20
NARANJAL;2;11,000;15;250;3004035,56;270363,20;80000,00;12000,00;;1500;10
NARANJITO;3;17,000;19;242;;;81026,04;10508,11;;600;3
NOBOL;1;17,000;17;128;184136,56;16572,29;17446,95;1786,22;;400;2
PALESTINA;2;10,000;10;112;22222,22;2000,00;24020254,00;1345503,00;680942,00;500;
PEDRO CARBO;3;8,000;6;184;94003,20;33708,84;7200,00;;;500;1
SALITRE;3;10,000;10;112;11944,22;1074,98;188882,00;9848,00;;1050;60
SAMBORONDON;;100,000;90;525;46746,00;55856,28;19996,00;;;3500;30
SAN JACINTO DE YAGUACHI;4;18,000;18;325;70404,77;6336,43;23271,60;939,12;1781,76;2000;
SANTA LUCIA;2;8,000;17;205;321987,88;28978,91;39679,13;4101,15;;1500;
SIMON BOLIVAR;1;3,000;3;216;17333,33;1560,00;25333,44;7581,27;;200;8
ARENILLAS;20;5,000;4;190;85709,00;7713,81;32990,30;;6580,63;400;2
ATAHUALPA;1;3,900;7;44;12409,44;1116,85;29000,00;1746,00;;200;1
BALSAS;1;2,000;2;50;63215,78;5689,42;21000,00;1100,00;;300;1
CHILLA;;1,000;5;43;20526,50;1847,39;24000,00;1200,00;;200;5
EL GUABO;2;40,000;10;245;731754,21;65857,88;102203,41;23487,54;5577,77;836;30
HUAQUILLAS;13;18,000;12;329;400000,00;36000,00;95073,00;1290,00;960,00;870;
LAS LAJAS;2;4,400;4;81;30133,33;2712,00;15000,00;4600,00;;377;4
MACHALA;10;265,000;112;812;3733945,40;336055,09;164153,07;19533,41;54074,99;1127;1
MARCABELI;2;2,500;3;90;52206,22;4698,56;20400,00;960,00;;300;1
PASAJE;4;68,000;45;345;488307,00;43947,63;52295,07;2349,08;542,51;840;1
PIÑAS;3;30,000;12;118;192779,44;17755,15;14861,55;;;500;1
PORTOVELO;2;4,500;3;130;214254,00;19282,86;16790,00;4500,00;200,00;240;1
SANTA ROSA;2;25,000;19;252;311196,77;28007,71;68508,48;696,00;2230,00;1000;1
ZARUMA;2;21,500;5;168;102897,44;9260,77;23606,55;404,20;5082,71;249;1
BABA;3;6,000;12;159;;;44959,74;;8406,22;500;30
BABAHOYO;4;62,000;158;668;810821,00;72973,89;71373,86;9247,51;1051,81;1500;
BUENA FE;12;4,000;4;376;;176631,26;176631,26;14495,58;34931,27;700;30
MOCACHE;1;18,000;6;162;;;49892,68;12476,17;;1000;30
MOTALVO;;3,000;11;230;;;37891,00;808,00;826,00;280;1
PALENQUE;;8,000;4;144;5854,44;526,90;101007,44;654902,00;1440,99;450;5
PUEBLO VIEJO;1;20,000;20;252;;;18970,00;1340,00;;588;30
QUEVEDO;3;140,000;70;627;;;123529,41;22702,70;4117,65;1700;
QUINSALOMA;2;22,000;11;95;39623,00;3566,07;37229,42;2733,56;3319,28;480;
URDANETA;4;18,000;9;212;;;19354,00;4054,00;;400;1
