MUNICIPIOS ;# de vehiculos recolectores;Capacidad en ton. de los vehiculos recolectores ;Que cobertura en porcentaje cubre servicio de barrido  ;Que cobertura en km cubre servicio de barrido ;porcentaje que cubre servicio de barrido en parroquias Urbanas;porcentaje cubre servicio de barrido en parroquias Rurales ;porcentaje de cobertura de recolección hacia los establecimientos que producen residuos infecciosos ;Proyectos para conservacion de las fuentes de capción de agua.;Abastecimiento de agua potable. Horas;Área en m2 que ocupa la institución: Área de constrcción;Área en m2 de las áreas verdes bajo la administración 2012: Parques ;Área en m2 de las áreas verdes bajo la administración 2012: Plazas ;Área en m2 de las áreas verdes bajo la administración 2012: Jardines ;Área en m2 de las áreas verdes bajo la administración 2012: Parterres;Área en m2 de las áreas verdes bajo la administración 2012: Riberas ;Área en m2 de las áreas verdes bajo la administración 2012: Estadios ;Área en m2 de las áreas verdes bajo la administración 2012: Canchas deportivas ;Área en m2 de las áreas verdes bajo la administración 2012: Otras áreas verdes urbanas ;Área total en hectáreas del área urbana del municipio 
ALFREDO BAQUERIZO;1;8;100;2,50;100;20;;;14;380,00;7908,35;;;;2.841,83;;;7651,00;10,00
BALAO;3;10;95;20,00;95;;;;24;631,42;974,51;;;;;19546,91;1926,35;;187,29
BALZAR;6;36;100;28,00;70;30;;;24;1354,00;8248,00;1.564,00;;;;15160,00;;;640,00
GNRAL. ANTONIO ELIZALDE ;;;100;12,00;100;;;;24;4427,65;2217,37;2.902,60;102,41;;95.791,37;7526,09;5203,49;8627,92;230,36
COLIMES;3;6;50;6,00;70;30;;;24;498,30;1553,00;394,00;84,00;805,00;;4000,00;;;68,36
DAULE;9;64;85;75,00;50;50;;1;24;873,60;6365,00;2.647,00;;;;18946,00;3064,00;;2357,63
DURAN;19;88;100;66,00;75;;;1;24;1740,74;236643,54;;;;;;26584,92;;5865,50
EL EMPALME;8;64;100;23,00;80;100;;1;24;2189,00;11400,00;4.000,00;;10.000,00;;10000,00;;;858,26
EL TRIUNFO;6;44;100;17,00;60;60;;;24;1200,00;18689,00;;;;;48421,00;12398,00;;691,21
GRAL. VILLAMIL - PLAYAS;3;28;70;42,00;70;;;;24;597,32;140704,40;1.382,17;;;;300035,70;;;4501,01
GUAYAQUIL;;;;;;;;;;;;;;;;;;;
ISIDRO AYORA;1;6;100;1,00;70;;;4;8;226,60;3125,00;1.600,00;;2.100,00;;3000,00;3400,00;12000,00;13,00
LOMAS DE SARGENTILLO;2;8;90;15,00;80;50;;;20;375,00;6446,00;;;;;11052,00;13836,00;2478,00;968,00
MARCELINO MARIDUEÑA;2;16;100;10,00;100;;;1;24;378,00;22293,00;2.040,00;1.000,00;1.656,00;;;16762,00;;109,00
MILAGRO;15;156;100;21,00;100;70;;;24;2901,26;43364,79;;;;6.892,00;52626,43;13997,28;196,00;2867,74
NARANJAL;5;90;100;11,00;100;50;90;;24;326,00;25142,00;;;;;39873,00;11172,00;;650,00
NARANJITO;6;40;90;17,00;90;;100;3;24;720,00;6813,07;;;;;18240,00;3430,50;6335,00;450,00
NOBOL;3;26;75;17,00;26;100;;;24;2800,00;938,96;;;;;170,00;6639,39;14472,00;837,10
PALESTINA;2;18;80;10,00;;100;;;24;800,00;876,00;18,00;;;;10410,00;3136,00;;274,00
PEDRO CARBO;4;26;80;8,00;90;60;;1;24;245,55;25000,00;15.000,00;5.000,00;5.000,00;;;;2000,00;635,20
SALITRE;3;20;90;10,00;92;;;;14;846,95;2120,00;10.000,00;;1.800,00;;;;;139,20
SAMBORONDON;10;51;100;100,00;100;100;;;16;1498,00;4855,00;10.883,15;;1.399,40;;29650,45;10566,39;;5,74
SAN JACINTO DE YAGUACHI;2;9,5;100;18,00;80;20;;;24;1293,02;7000,00;300,00;900,00;400,00;8.000,00;10000,00;30000,00;;51,36
SANTA LUCIA;2;18;100;8,00;100;;;;24;582,69;4982,92;;;463,59;19.325,00;20544,00;1373,00;51061,57;280,21
SIMON BOLIVAR;4;14;100;3,00;80;;;;24;3000,00;233,71;;;;;10561,38;2983,14;2997,57;10,00
ARENILLAS;3;28;60;5,00;60;;;;24;2649,01;3518547,00;;;;;13517,50;6284,22;;6015,64
ATAHUALPA;1;12;90;3,90;56;60;98;;24;360,00;24,20;;;;;13,14;;;18,18
BALSAS;1;5;100;2,00;100;;100;;24;400,00;3048,26;;;;;7446,00;3200,00;;132,00
CHILLA;1;6;70;1,00;70;;;1;24;934,65;1665,77;;;;;;;9420,00;122,09
EL GUABO;6;40;80;40,00;80;40;;;14;1523,20;70000,00;;;;;14000,00;600,00;;400,00
HUAQUILLAS;6;48;10;18,00;10;;100;;24;915,65;13634,00;;;;;16826,00;43362,00;;1330,47
LAS LAJAS;1;8;90;4,40;90;;;1;24;943,00;7200,00;;;;;;9000,00;1300,00;192,77
MACHALA;16;108;75;265,00;90;80;;1;;5088,68;130830,00;;;;;29146,00;42556,90;210000,00;5969,40
MARCABELI;1;8;100;2,50;100;;100;;24;3907,00;7327,00;;;263,00;49.320,00;5404,90;2910,00;;6,53
PASAJE;8;58;50;68,00;80;40;;1;24;1946,00;31016,08;;;;;24360,80;42230,98;250000,00;1700,00
PIÑAS;3;15;26;30,00;26;;;1;24;2500,00;23740,00;;;;;19350,00;11200,00;;600,00
PORTOVELO;2;19;30;4,50;30;;;;24;932,00;7382,98;;;;;10931,75;11700,00;20000000,00;2569,85
SANTA ROSA;5;45;50;25,00;50;;70;;24;1531,33;64000,00;;;;;15020,00;78000,00;;1703,57
ZARUMA;3;27;100;21,50;100;80;;;24;1308,14;17803,00;;;;;8860,00;13200,00;120000,00;823,67
BABA;2;20;80;6,00;60;30;;;18;1850,03;6247,00;;;;;20151,25;3549,06;;30656,19
BABAHOYO;10;60;90;62,00;90;70;;;24;9412,00;12257,00;;;;;;892,00;;1586,00
BUENA FE;6;39;100;4,00;10;;;;20;1214,00;18,61;;;;;13,14;6000,00;30961,97;595,62
MOCACHE;2;10;75;18,00;75;;;;15;2129,23;2369,44;;;;15.050,00;18000,00;2800,00;864513,00;293,13
MOTALVO;3;28;80;3,00;80;90;;;24;324,43;12000,00;;;2.000,00;3.000,00;;;;500,00
PALENQUE;1;12;100;8,00;95;98;;;24;761,28;5024,00;418,00;;;;;589,00;22645,00;2,87
PUEBLO VIEJO;2;12;80;20,00;80;80;;;19;392,85;6079,38;7.386,28;;;;;4985,73;128,00;112,00
QUEVEDO;10;80;80;140,00;80;90;;;24;3117,24;;;;;;46570,54;;;52,64
